h,fd,bd,cd
0.1111111111111111,2.1601048215852914,2.160104821585292,0.468057906191615
0.030303030303030304,0.5974806053596746,0.5974806053596782,0.03772265521841689
0.008547008547008548,0.16869598221691198,0.16869598221691462,0.003018543420597375
0.0024752475247524753,0.04885844289959289,0.048858442899591355,0.00025329135780083334
0.0007204610951008645,0.014221307704910485,0.014221307704907551,2.1458975227872656e-05
0.00020964360587002095,0.004138198611140266,0.0041381986111345415,1.8169862174843843e-06
6.105751618024179e-05,0.0012052270534362842,0.00120522705343335,1.541277461214463e-07
1.778315224156634e-05,0.0003510253564070237,0.00035102535640687974,1.3091789874408732e-08
5.179495413556811e-06,0.00010223915154666027,0.00010223915154512135,1.2020802131473829e-09
1.5085937040350355e-06,2.977850681835535e-05,2.9778506816816215e-05,4.254472329989767e-10
4.393972348732009e-07,8.673594438239791e-06,8.673594435306374e-06,1.1958620760310623e-09
1.279802439457026e-07,2.5270792628068195e-06,2.5270792620374696e-06,5.159537685983651e-09
3.727593852705694e-08,7.388548984924026e-07,7.388896956228574e-07,1.3876971571846752e-08
1.0857111284663241e-08,2.289682039524621e-07,2.29066990042881e-07,4.4329122594888304e-08
3.1622776703367586e-09,2.917237234001391e-07,2.920527819583185e-07,1.2349160005697968e-07
